school,shirt,demographic,first,year,age,gender,major,conduct,travel,status,going,checked,door,dietary,probable,created
Kent State University ,XL,TRUE,TRUE,Alumnus,36,Female,UXD,TRUE,FALSE,pending,FALSE,FALSE,FALSE,[''],FALSE,10/19/2018
Kent State University ,L,TRUE,TRUE,Alumnus,22,Female,Marketing/Sales grad,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,9/12/2018
Kent State University,M,TRUE,TRUE,Freshman,18,Female,Biology,TRUE,FALSE,approved,FALSE,FALSE,FALSE,[''],FALSE,9/9/2018
Kent State University,M,TRUE,FALSE,Freshman,18,Female,Computer Science,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,9/21/2018
Kent State University,XXL,TRUE,TRUE,Freshman,19,Female,Computer Science,TRUE,FALSE,approved,FALSE,FALSE,FALSE,[],FALSE,9/28/2018
Kent State University,S,TRUE,TRUE,Freshman,19,Female,Engineering Technology,TRUE,FALSE,approved,FALSE,TRUE,FALSE,[''],FALSE,10/19/2018
Kent State University,S,TRUE,TRUE,Freshman,20,Female,Biotechnology ,TRUE,FALSE,approved,FALSE,FALSE,FALSE,['vegetarian'],FALSE,9/11/2018
University of Akron,M,TRUE,TRUE,Freshman,18,Female,HR Management,TRUE,TRUE,approved,TRUE,TRUE,FALSE,[],FALSE,10/17/2018
University of Waterloo,S,TRUE,TRUE,Freshman,18,Female,Software Engineering,TRUE,TRUE,approved,FALSE,FALSE,FALSE,[''],FALSE,8/24/2018
Youngstown State University,S,TRUE,TRUE,Freshman,18,Female,Computer Science,TRUE,FALSE,approved,TRUE,TRUE,FALSE,['vegetarian'],FALSE,9/18/2018
Case Western Reserve University ,M,TRUE,FALSE,Freshman,18,Male,CS,TRUE,FALSE,approved,FALSE,FALSE,FALSE,[''],FALSE,10/16/2018
Columbus State Community College,M,TRUE,FALSE,Freshman,21,Male,Computer Science,TRUE,TRUE,approved,TRUE,TRUE,FALSE,[],FALSE,9/8/2018
Community College of Allegheny County,M,TRUE,FALSE,Freshman,18,Male,Computer Science,TRUE,FALSE,approved,FALSE,FALSE,FALSE,[''],FALSE,8/29/2018
Cuyahoga County Community College,L,TRUE,FALSE,Freshman,18,Male,Undecided,TRUE,FALSE,approved,TRUE,FALSE,FALSE,[],FALSE,9/28/2018
Eastern Gateway Community College,M,TRUE,TRUE,Freshman,19,Male,Business Management,TRUE,FALSE,approved,FALSE,TRUE,FALSE,[''],FALSE,10/18/2018
Hiram college,L,TRUE,TRUE,Freshman,20,Male,Compute science,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,10/3/2018
Kent State University,XL,TRUE,FALSE,Freshman,18,Male,Computer Science,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,9/8/2018
Kent State University,M,TRUE,TRUE,Freshman,18,Male,Computer Science,TRUE,FALSE,pending,FALSE,FALSE,FALSE,[''],FALSE,9/19/2018
Kent State University,M,TRUE,TRUE,Freshman,18,Male,Computer Science,TRUE,FALSE,approved,TRUE,FALSE,FALSE,[],FALSE,9/20/2018
Kent State University,M,TRUE,TRUE,Freshman,18,Male,Computer Science,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,10/4/2018
Kent State University,L,TRUE,TRUE,Freshman,18,Male,Computer Science,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,10/8/2018
Kent State University,M,TRUE,TRUE,Freshman,18,Male,Computer Science,TRUE,FALSE,approved,FALSE,TRUE,FALSE,[''],FALSE,10/16/2018
Kent State University,M,TRUE,TRUE,Freshman,18,Male,Computer Science,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,10/16/2018
Kent State University,XL,TRUE,TRUE,Freshman,18,Male,Computer Science,TRUE,FALSE,approved,TRUE,TRUE,FALSE,['Pineapple Allergy'],FALSE,10/16/2018
Kent State University,M,TRUE,FALSE,Freshman,19,Male,Computer Science,TRUE,FALSE,approved,FALSE,TRUE,FALSE,[''],FALSE,8/28/2018
